##NAMES=Wagnerite
##RRUFFID=R050519
##IDEAL CHEMISTRY=Mg_2_PO_4_F
##LOCALITY=Kjorrestad, near Bamle, Norway
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Pale yellow lamellar fragments, associated with isokite, R070526.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R050519
##MEASURED CHEMISTRY=Mg_2.00_(P_1.00_O_4_)(F_0.80_(OH)_0.20_)_Σ=1_ ; = gray phase, and the light phase is isokite: Ca_1.00_Mg_1.00_(P_1.00_O_4_)(F_0.80_(OH)_0.20_)_Σ=1_
544.1157, 310.0677
544.5978, 310.4432
545.0799, 310.4517
545.5620, 309.9683
546.0441, 309.2377
546.5262, 308.8640
547.0084, 309.4014
547.4905, 310.0429
547.9726, 310.4051
548.4547, 310.4297
548.9368, 310.6444
549.4189, 311.2491
549.9011, 311.9242
550.3832, 312.5253
550.8653, 313.2021
551.3474, 313.3701
551.8295, 312.7401
552.3116, 311.9231
552.7938, 311.9114
553.2759, 312.7949
553.7580, 313.6268
554.2401, 314.2345
554.7222, 314.5678
555.2043, 314.2505
555.6865, 313.3664
556.1686, 312.7988
556.6507, 313.4790
557.1328, 314.6688
557.6149, 315.2122
558.0970, 315.0457
558.5792, 314.7816
559.0613, 314.9505
559.5434, 315.1991
560.0255, 315.1081
560.5076, 314.1749
560.9897, 313.6415
561.4719, 314.2195
561.9540, 315.3940
562.4361, 316.2975
562.9182, 316.3045
563.4003, 316.6368
563.8824, 317.8098
564.3646, 319.6029
564.8467, 320.3787
565.3288, 319.5497
565.8109, 318.9095
566.2930, 319.7420
566.7751, 322.1427
567.2573, 322.8601
567.7394, 321.6177
568.2215, 319.9764
568.7036, 319.5532
569.1857, 320.0996
569.6678, 320.7196
570.1500, 321.2823
570.6321, 321.7155
571.1142, 321.8940
571.5963, 321.8762
572.0784, 321.7914
572.5605, 321.6026
573.0427, 321.4533
573.5248, 321.4457
574.0069, 321.5678
574.4890, 321.7147
574.9711, 321.5659
575.4532, 321.6729
575.9354, 322.3935
576.4175, 323.9719
576.8996, 325.3663
577.3817, 326.6425
577.8638, 327.6552
578.3459, 328.1367
578.8281, 327.7966
579.3102, 328.1212
579.7923, 329.4013
580.2744, 331.2119
580.7565, 332.7968
581.2386, 334.1595
581.7208, 335.3952
582.2029, 336.5550
582.6850, 337.6103
583.1671, 338.5144
583.6492, 339.2835
584.1313, 340.0094
584.6135, 340.4603
585.0956, 341.0852
585.5776, 342.3932
586.0598, 344.4951
586.5419, 346.7124
587.0240, 348.9746
