##NAMES=Scotlandite
##RRUFFID=R100043
##IDEAL CHEMISTRY=Pb^2+^S^4+^O_3_
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Colorless, elongated tabular crystals associated with aravaipaite R100032 and laurelite R100011
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100043
605.0578, 83.04549
605.5399, 81.93385
606.0220, 80.75218
606.5042, 80.01984
606.9863, 79.99675
607.4684, 80.62821
607.9505, 82.09630
608.4326, 84.37442
608.9147, 86.23939
609.3969, 87.25234
609.8790, 87.97036
610.3611, 88.70058
610.8432, 89.50130
611.3253, 91.35409
611.8074, 95.38856
612.2896, 99.42895
612.7717, 102.1672
613.2538, 104.1820
613.7359, 106.3261
614.2180, 108.9069
614.7001, 112.0898
615.1823, 116.1379
615.6644, 121.0836
616.1465, 126.1753
616.6286, 130.5528
617.1107, 136.3219
617.5928, 145.3712
618.0750, 155.1615
618.5571, 162.8534
619.0392, 167.9570
619.5213, 172.7267
620.0034, 179.3109
620.4855, 186.6608
620.9677, 192.7919
621.4498, 197.6310
621.9319, 200.5595
622.4140, 201.5150
622.8961, 200.1295
623.3782, 195.1605
623.8604, 185.8972
624.3425, 175.8864
624.8246, 164.8190
625.3067, 153.8062
625.7888, 143.1895
626.2709, 133.2742
626.7531, 124.2887
627.2352, 116.3864
627.7173, 109.7200
628.1994, 104.8380
628.6815, 102.0093
629.1636, 99.44325
629.6458, 97.42567
630.1279, 95.18678
630.6100, 91.79361
631.0921, 88.06242
631.5742, 85.51424
632.0563, 84.72483
632.5385, 84.55540
633.0206, 84.67363
633.5027, 84.70882
633.9848, 83.67535
634.4669, 81.46187
634.9490, 79.25371
635.4312, 77.80872
635.9133, 77.12331
636.3954, 77.18480
636.8775, 79.72636
637.3596, 80.64762
637.8417, 78.10304
638.3239, 75.29767
638.8060, 74.77223
639.2881, 76.11998
639.7702, 77.34235
640.2523, 77.27888
640.7344, 76.33372
641.2166, 75.05096
641.6987, 73.38794
642.1808, 72.30135
642.6629, 72.15890
643.1450, 72.33562
643.6271, 72.38982
644.1093, 72.32079
644.5914, 72.08656
645.0735, 71.62582
645.5556, 71.06394
646.0377, 70.10525
646.5198, 69.22731
647.0020, 69.41014
647.4841, 70.67847
647.9662, 71.77275
648.4483, 71.46664
648.9304, 70.04580
649.4125, 69.59152
649.8947, 70.72853
650.3768, 71.67155
650.8589, 71.97062
651.3410, 72.09187
651.8231, 72.49783
652.3052, 73.07767
652.7874, 73.17594
653.2695, 72.01344
653.7516, 70.63896
654.2337, 70.41139
654.7158, 71.14008
655.1979, 72.08010
655.6801, 73.10315
656.1622, 73.76426
656.6443, 73.43652
657.1264, 72.03643
657.6085, 71.28889
658.0906, 71.89719
658.5728, 72.18496
659.0549, 71.25822
