##NAMES=Trechmannite
##RRUFFID=R130062
##IDEAL CHEMISTRY=Ag^1+^As^3+^S^2-^_2_
##LOCALITY=Lengenbach quarry, Imfeld, Binn Valley, Wallis, Switzerland
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Single dark red crystal, associated with jordanite and binnite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130062
631.2608, 85.11323
631.7429, 85.17407
632.2250, 85.04749
632.7072, 85.21124
633.1893, 85.03404
633.6714, 85.21823
634.1535, 85.48399
634.6356, 85.12129
635.1177, 85.42300
635.5999, 84.69322
636.0820, 84.82569
636.5641, 84.86481
637.0462, 85.45490
637.5283, 84.72835
638.0104, 84.83504
638.4926, 85.29626
638.9747, 85.26034
639.4568, 85.43163
639.9389, 84.98768
640.4210, 85.12083
640.9031, 85.09433
641.3853, 85.61749
641.8674, 85.70590
642.3495, 85.27013
642.8316, 84.83612
643.3137, 85.39706
643.7958, 85.01409
644.2780, 85.13966
644.7601, 84.73911
645.2422, 84.79197
645.7243, 84.83720
646.2064, 85.11463
646.6885, 85.06357
647.1707, 85.17229
647.6528, 85.12907
648.1349, 85.24123
648.6170, 85.33559
649.0991, 85.39250
649.5812, 85.27953
650.0634, 85.48290
650.5455, 85.01038
651.0276, 84.79369
651.5097, 84.75871
651.9918, 84.64236
652.4739, 84.63740
652.9561, 84.67688
653.4382, 84.68547
653.9203, 84.56361
654.4024, 84.55222
654.8845, 84.54403
655.3666, 84.52727
655.8488, 84.53584
656.3309, 84.56730
656.8130, 84.63591
657.2951, 84.76192
657.7772, 85.00600
658.2593, 85.14152
658.7415, 85.14987
659.2236, 85.08000
659.7057, 84.99028
660.1878, 84.88052
660.6699, 84.67956
661.1520, 84.33214
661.6342, 84.00716
662.1163, 83.98876
662.5984, 84.18911
663.0805, 84.37440
663.5626, 84.37193
664.0447, 84.40142
664.5269, 84.72583
665.0090, 85.21683
665.4911, 85.50842
665.9732, 85.27666
666.4553, 85.03452
666.9374, 84.99882
667.4196, 85.15250
667.9017, 85.21158
