##NAMES=Tsumcorite
##RRUFFID=R100185
##IDEAL CHEMISTRY=Pb^2+^Zn^2+^_2_(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Mina Ojuela (Campo Sur), Mapimi, Durango, Mexico
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Brilliant brown wedge-shaped crystals on pulverant segnitite, associated with colorless mimetite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100185
618.0408, 9.064090
618.5229, 9.111455
619.0050, 9.285396
619.4871, 9.480273
619.9692, 9.680803
620.4514, 9.852079
620.9335, 9.972858
621.4156, 10.23908
621.8977, 11.05136
622.3798, 11.52217
622.8619, 11.09875
623.3441, 10.38019
623.8262, 10.06390
624.3083, 10.31249
624.7904, 10.75432
625.2725, 11.22689
625.7546, 11.63559
626.2367, 11.63192
626.7188, 11.16052
627.2009, 10.71424
627.6830, 10.51149
628.1652, 10.52267
628.6473, 10.74787
629.1294, 11.32294
629.6115, 11.64479
630.0936, 11.42868
630.5757, 11.10000
